Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1652800826,121,,Aggregated,146.700000,0.000000,330,460,540,600,740,870,1100,1400,2200,2600,2700,18977,0,330.0,386.173625080683,3.836803007288836,2681.8258900020737,363.215155187859
1652800827,122,,Aggregated,146.300000,0.000000,340,470,540,600,740,880,1100,1400,2300,3100,3100,19156,0,340.0,390.05652503690794,3.836803007288836,3137.667228002101,363.4516600542911
1652800828,123,,Aggregated,142.400000,0.000000,340,470,550,600,750,880,1100,1500,2300,3100,3100,19277,0,340.0,393.02094028774985,3.836803007288836,3137.667228002101,364.0482440213726
1652800829,124,,Aggregated,142.000000,0.000000,340,470,550,610,760,910,1200,1500,2300,3100,3100,19385,0,340.0,397.2448484984194,3.836803007288836,3137.667228002101,363.6272375548104
1652800830,125,,Aggregated,144.400000,0.000000,340,470,560,610,770,920,1200,1500,2400,3100,3100,19498,0,340.0,401.3488835643091,3.836803007288836,3137.667228002101,364.14550210277974
1652800831,126,,Aggregated,146.000000,0.000000,350,480,560,620,780,940,1200,1500,2400,3100,3100,19629,0,350.0,405.6178997507723,3.836803007288836,3137.667228002101,364.6551530898161
1652800832,127,,Aggregated,139.800000,0.000000,350,480,570,630,790,950,1200,1500,2400,3100,3100,19754,0,350.0,408.70942169185935,3.836803007288836,3137.667228002101,364.7263339070568
1652800833,128,,Aggregated,136.600000,0.000000,350,480,570,630,800,970,1200,1500,2400,3100,3100,19822,0,350.0,411.57712778483244,3.836803007288836,3137.667228002101,364.5096862072445
1652800834,129,,Aggregated,134.900000,0.000000,350,490,580,640,810,980,1300,1600,2500,3100,3100,19970,0,350.0,417.12513486914906,3.836803007288836,3137.667228002101,364.48167250876315
1652800835,130,,Aggregated,127.600000,0.000000,360,490,580,640,820,990,1300,1600,2500,3000,3100,20066,0,360.0,420.0971893374829,3.836803007288836,3137.667228002101,364.49626233429683
1652800836,131,,Aggregated,127.600000,0.000000,360,500,590,650,830,1000,1400,1600,2500,3000,3100,20217,0,360.0,425.10231742474264,3.836803007288836,3137.667228002101,363.98135232724934
1652800837,132,,Aggregated,128.100000,0.000000,360,500,590,650,840,1000,1400,1600,2600,3100,3600,20375,0,360.0,428.08696257879325,3.836803007288836,3558.9490060083335,363.4788220858896
1652800838,133,,Aggregated,124.000000,0.000000,370,500,600,660,840,1000,1400,1700,2700,3600,3900,20518,0,370.0,432.51884220162367,3.836803007288836,3867.4195280036656,364.11073204015986
1652800839,134,,Aggregated,121.900000,0.000000,370,510,600,670,860,1000,1400,1700,2700,3600,3900,20623,0,370.0,435.59927542772715,3.836803007288836,3867.4195280036656,364.2694079425884
1652800840,135,,Aggregated,122.400000,0.000000,370,510,600,670,870,1100,1400,1700,2700,3600,3900,20707,0,370.0,438.5541194648176,3.836803007288836,3867.4195280036656,364.1580624909451
1652800841,136,,Aggregated,122.400000,0.000000,370,510,610,680,880,1100,1400,1700,2700,3600,3900,20819,0,370.0,443.9102470069101,3.836803007288836,3867.4195280036656,363.7490273308036
1652800842,137,,Aggregated,123.500000,0.000000,380,520,610,680,890,1100,1400,1700,2700,3600,3900,20971,0,380.0,447.2451078764923,3.836803007288836,3867.4195280036656,363.109341471556
1652800843,138,,Aggregated,119.500000,0.000000,380,520,620,690,890,1100,1400,1800,3000,4100,4300,21110,0,380.0,451.6112996798159,3.836803007288836,4298.984309003572,363.75675035528184
1652800844,139,,Aggregated,122.000000,0.000000,380,520,630,700,900,1100,1500,1800,3000,4100,4300,21230,0,380.0,455.00419445869125,3.836803007288836,4298.984309003572,364.2071125765426
1652800845,140,,Aggregated,128.100000,0.000000,380,530,630,700,920,1100,1500,1800,3000,4100,4300,21358,0,380.0,459.90282735986443,3.836803007288836,4298.984309003572,364.51273527483846
1652800846,141,,Aggregated,125.000000,0.000000,390,530,640,710,920,1100,1500,1800,3000,4100,4300,21503,0,390.0,463.07082897437095,3.836803007288836,4298.984309003572,364.05966609310326
1652800847,142,,Aggregated,126.400000,0.000000,390,540,640,720,930,1100,1500,1800,3000,4100,4300,21633,0,390.0,466.8999872941271,3.836803007288836,4298.984309003572,365.135764803772
1652800848,143,,Aggregated,127.200000,0.000000,390,540,650,730,950,1100,1500,1800,3000,4100,4300,21761,0,390.0,470.3306669175026,3.836803007288836,4298.984309003572,365.02513671246726
1652800849,144,,Aggregated,125.100000,0.000000,390,540,650,730,960,1200,1500,1800,3000,4100,4300,21856,0,390.0,473.8365767322797,3.836803007288836,4298.984309003572,365.1234901171303
1652800850,145,,Aggregated,125.200000,0.000000,400,550,660,740,970,1200,1500,1800,3000,4100,4300,21988,0,400.0,478.5749401294638,3.836803007288836,4298.984309003572,365.15381116972895
1652800851,146,,Aggregated,122.600000,0.000000,400,550,670,750,980,1200,1500,1800,3000,4100,4300,22138,0,400.0,482.073256008836,3.836803007288836,4298.984309003572,364.77947420724547
1652800852,147,,Aggregated,126.100000,0.000000,400,550,670,760,990,1200,1500,1800,3000,4100,4300,22311,0,400.0,485.8419386018809,3.836803007288836,4298.984309003572,364.3317646004213
